Source,AName,AType,ASource,Target,BName,BType,BSource
FD00000,11-beta-hydroxylase deficiency,disease,faers,FG0736,CYP11B1,gene,MalaCards
FD00001,17-alpha-hydroxylase deficiency,disease,faers,FG0738,CYP17A1,gene,MalaCards
FD00003,21-hydroxylase deficiency,disease,faers,FG0743,CYP21A2,gene,MalaCards
FD00016,aids dementia complex,disease,faers,FG1584,ITIH4,gene,MalaCards
FD00016,aids dementia complex,disease,faers,FG0728,CXCR4,gene,MalaCards
FD00016,aids dementia complex,disease,faers,FG0455,CCR3,gene,MalaCards
FD00016,aids dementia complex,disease,faers,FG3330,TNF,gene,MalaCards
FD00016,aids dementia complex,disease,faers,FG0260,B2M,gene,MalaCards
FD00016,aids dementia complex,disease,faers,FG0716,CXCL12,gene,MalaCards
FD00096,abscess,disease,faers,FG1678,LACTB,gene,MalaCards
FD00096,abscess,disease,faers,FG1489,IGES,gene,MalaCards
FD00117,acanthosis,disease,faers,FG1560,INSR,gene,MalaCards
FD00117,acanthosis,disease,faers,FG1078,FGFR3,gene,MalaCards
FD00117,acanthosis,disease,faers,FG1559,INS,gene,MalaCards
FD00117,acanthosis,disease,faers,FG1077,FGFR2,gene,MalaCards
FD00117,acanthosis,disease,faers,FG1701,LEP,gene,MalaCards
FD00117,acanthosis,disease,faers,FG0077,ADIPOQ,gene,MalaCards
FD00117,acanthosis,disease,faers,FG1491,IGF1R,gene,MalaCards
FD00117,acanthosis,disease,faers,FG1790,LMNA,gene,MalaCards
FD00117,acanthosis,disease,faers,FG2975,SHBG,gene,MalaCards
FD00117,acanthosis,disease,faers,FG1490,IGF1,gene,MalaCards
FD00117,acanthosis,disease,faers,FG0270,BAIAP2L1,gene,MalaCards
FD00118,acanthosis nigricans,disease,faers,FG1560,INSR,gene,MalaCards
FD00118,acanthosis nigricans,disease,faers,FG1078,FGFR3,gene,MalaCards
FD00118,acanthosis nigricans,disease,faers,FG1559,INS,gene,MalaCards
FD00118,acanthosis nigricans,disease,faers,FG1077,FGFR2,gene,MalaCards
FD00118,acanthosis nigricans,disease,faers,FG1701,LEP,gene,MalaCards
FD00118,acanthosis nigricans,disease,faers,FG0077,ADIPOQ,gene,MalaCards
FD00118,acanthosis nigricans,disease,faers,FG1491,IGF1R,gene,MalaCards
FD00118,acanthosis nigricans,disease,faers,FG1790,LMNA,gene,MalaCards
FD00118,acanthosis nigricans,disease,faers,FG2975,SHBG,gene,MalaCards
FD00118,acanthosis nigricans,disease,faers,FG1490,IGF1,gene,MalaCards
FD00118,acanthosis nigricans,disease,faers,FG0270,BAIAP2L1,gene,MalaCards
FD00155,acne,disease,faers,FG2344,NCSTN,gene,MalaCards
FD00161,acoustic neuroma,disease,faers,FG2357,NF2,gene,MalaCards
FD00161,acoustic neuroma,disease,faers,FG0004,ABCA2,gene,MalaCards
FD00161,acoustic neuroma,disease,faers,FG2820,RDX,gene,MalaCards
FD00161,acoustic neuroma,disease,faers,FG0996,EZR,gene,MalaCards
FD00161,acoustic neuroma,disease,faers,FG2248,MSN,gene,MalaCards
FD00161,acoustic neuroma,disease,faers,FG2356,NF1,gene,MalaCards
FD00161,acoustic neuroma,disease,faers,FG0970,ERBB3,gene,MalaCards
FD00161,acoustic neuroma,disease,faers,FG2367,NGFR,gene,MalaCards
FD00188,acquired immunodeficiency syndrome,disease,faers,FG2844,RN7SK,gene,MalaCards
FD00188,acquired immunodeficiency syndrome,disease,faers,FG1346,HCP5,gene,MalaCards
FD00188,acquired immunodeficiency syndrome,disease,faers,FG2845,RN7SL1,gene,MalaCards
FD00188,acquired immunodeficiency syndrome,disease,faers,FG2442,NRON,gene,MalaCards
FD00188,acquired immunodeficiency syndrome,disease,faers,FG2349,NEAT1,gene,MalaCards
FD00206,acrodermatitis chronica atrophicans,disease,faers,FG0480,CD40LG,gene,MalaCards
FD00207,acrodermatitis enteropathica,disease,faers,FG3039,SLC39A4,gene,MalaCards
FD00207,acrodermatitis enteropathica,disease,faers,FG3031,SLC30A4,gene,MalaCards
FD00213,actinic keratosis,disease,faers,FG3365,TP63,gene,MalaCards
FD00213,actinic keratosis,disease,faers,FG2527,PCNA,gene,MalaCards
FD00225,activated protein c resistance,disease,faers,FG1004,F5,gene,MalaCards
FD00225,activated protein c resistance,disease,faers,FG1003,F3,gene,MalaCards
FD00225,activated protein c resistance,disease,faers,FG2949,SERPINC1,gene,MalaCards
FD00225,activated protein c resistance,disease,faers,FG0186,APOH,gene,MalaCards
FD00225,activated protein c resistance,disease,faers,FG1001,F2,gene,MalaCards
FD00225,activated protein c resistance,disease,faers,FG2277,MTHFR,gene,MalaCards
FD00225,activated protein c resistance,disease,faers,FG3287,THBD,gene,MalaCards
FD00225,activated protein c resistance,disease,faers,FG1006,F8,gene,MalaCards
FD00225,activated protein c resistance,disease,faers,FG2951,SERPINE1,gene,MalaCards
FD00225,activated protein c resistance,disease,faers,FG0997,F10,gene,MalaCards
FD00225,activated protein c resistance,disease,faers,FG3491,VWF,gene,MalaCards
FD00225,activated protein c resistance,disease,faers,FG1064,FGA,gene,MalaCards
FD00225,activated protein c resistance,disease,faers,FG1007,F9,gene,MalaCards
FD00225,activated protein c resistance,disease,faers,FG2611,PLAT,gene,MalaCards
FD00225,activated protein c resistance,disease,faers,FG2566,PF4,gene,MalaCards
